CO_Concentration,NO2_Concentration,O3_Concentration,PM10_Concentration,PM2.5_Concentration,SO2_Concentration,Date,SO2_index,PM10_index,PM2.5_index,O3_index,NO2_index,CO_index,aqi
0.5775,40.4011255787037,77.32375,45.27418402777778,17.278333333333332,2.0828385416666664,2013-05-08,1,41,61,123,20,0,123
0.4772916666666666,42.42415940766551,71.19661971830986,33.3867578125,17.136666666666667,1.6100347222222222,2013-05-09,0,30,61,101,21,0,101
0.5520833333333334,39.52938657407408,60.97859154929577,21.618218704512373,16.555555555555554,1.7553472222222222,2013-05-10,0,20,60,70,19,0,70
0.5554166666666667,41.055390625,70.78652777777778,25.26723263888889,16.669166666666666,1.2389756944444443,2013-05-11,0,23,60,100,20,0,100
0.4352083333333333,33.77731336805556,71.70583333333333,21.2041843220339,16.15083333333333,1.0590798611111112,2013-05-12,0,19,59,103,16,0,103
0.5652083333333333,32.528771777003485,70.71416666666667,15.66213120567376,15.866666666666667,1.5096788194444446,2013-05-13,0,14,58,99,16,0,99
0.5304166666666666,36.53355263157895,63.82069444444445,17.940980902777778,15.541666666666668,1.7086790780141845,2013-05-14,0,16,58,79,18,0,79
0.6329411764705882,41.35999231242312,82.99799999999999,22.835831464872943,15.510833333333334,1.468970588235294,2013-05-15,0,21,58,142,20,0,142
0.6367499999999999,40.28341815476191,107.50722222222224,30.455779454022988,15.605,2.548760416666666,2013-05-16,1,28,58,202,20,0,202
0.5166666666666667,38.75235285547785,96.9018309859155,32.399569444444445,15.51,2.3161979166666664,2013-05-17,1,29,58,179,19,0,179
0.4841666666666666,35.5528197337963,55.88041666666666,37.12813368055556,15.045833333333334,1.4830729166666667,2013-05-18,0,34,57,53,17,0,57
0.3970833333333333,26.310846354166667,83.55097222222223,20.49992791842476,14.615,1.3817708333333334,2013-05-19,0,18,56,144,13,0,144
0.2977083333333333,19.50289351851852,84.81527777777778,16.45079340277778,14.065833333333334,1.5991059027777776,2013-05-20,0,15,55,149,9,0,149
0.4783333333333333,31.23201678240741,69.0225,12.195251773049646,13.635,0.3704340277777777,2013-05-21,0,11,54,96,15,0,96
0.5189583333333333,39.396309731934736,58.39144927536232,14.980600694444444,13.509166666666667,0.6051302083333333,2013-05-22,0,13,53,62,19,0,62
0.5059574468085106,32.63497814685315,78.42333333333335,18.75384895833333,13.5425,1.2535416666666668,2013-05-23,0,17,54,126,16,0,126
0.5579166666666667,39.348696283391405,68.17591549295774,22.306269097222224,13.592499999999998,2.180685763888889,2013-05-24,1,20,54,94,19,0,94
0.4597916666666666,35.24629918981481,59.53694444444445,20.342791666666663,13.429166666666664,1.569826388888889,2013-05-25,0,18,53,65,17,0,65
0.4839583333333333,27.835910011574075,55.57361111111111,10.068645833333331,13.115833333333333,0.6116579861111111,2013-05-26,0,9,53,52,13,0,53
0.516875,27.296279137529137,57.63652777777778,10.76909219858156,12.8225,2.2626475694444443,2013-05-27,1,9,52,59,13,0,59
0.525,34.93457607433217,63.10943661971832,18.889229166666667,12.834166666666668,1.3771006944444444,2013-05-28,0,17,52,77,17,0,77
0.68375,47.67055023228804,78.22680555555556,21.031875,12.885833333333334,0.5629253472222222,2013-05-29,0,19,52,126,23,0,126
0.5008510638297872,49.33626461988304,78.29236111111112,23.757270833333333,12.894166666666669,0.915,2013-05-30,0,21,52,126,24,0,126
0.3177083333333333,27.176535011574074,79.90166666666667,23.53971701388889,12.599166666666669,0.8664930555555556,2013-05-31,0,21,52,132,13,0,132
0.2870833333333333,26.21072482638889,67.64236111111111,27.798791666666663,12.115833333333336,0.3554774305555555,2013-06-01,0,25,51,92,13,0,92
0.2272916666666666,14.786686921296296,70.78152777777778,21.90891493055556,11.646666666666668,0.203142361111111,2013-06-02,0,20,48,100,7,0,100
0.2277083333333333,16.767173032407406,69.09652777777778,16.255998263888888,11.3975,0.2309982638888888,2013-06-03,0,15,47,97,8,0,97
0.3554166666666666,23.89830439814815,70.01430555555555,16.781213541666666,11.15,0.4173090277777777,2013-06-04,0,15,46,97,11,0,97
0.3958333333333333,27.53724738675958,74.70666666666666,13.83666845493562,11.072500000000002,1.2515277777777778,2013-06-05,0,12,46,113,13,0,113
0.3914583333333333,28.72008101851852,85.93166666666667,14.489678270042194,11.055833333333334,3.752144097222222,2013-06-06,2,13,46,150,14,0,150
0.3814583333333333,31.34117332175926,94.10333333333332,18.023782986111108,11.116666666666667,2.617170138888889,2013-06-07,1,16,46,171,15,0,171
0.4402083333333333,36.57668573943662,95.16319444444444,22.41737641242938,11.0725,1.4355034722222222,2013-06-08,0,20,46,174,18,0,174
0.339375,24.43135101010101,106.70875,23.239826388888886,10.845833333333337,1.1602083333333333,2013-06-09,0,21,45,201,12,0,201
0.2804166666666667,20.79862753882915,75.1625,19.10263167388167,10.3625,0.6358246527777778,2013-06-10,0,17,43,115,10,0,115
0.4451351351351351,33.626576413959086,76.9025,13.482686846038863,10.094166666666666,0.4955381944444444,2013-06-11,0,12,42,121,16,0,121
0.6145833333333334,46.22898455710956,91.92277777777778,22.620189236111116,10.170833333333333,1.0121006944444444,2013-06-12,0,20,42,166,23,0,166
0.5560416666666667,46.55390914351852,76.84013888888889,28.550401041666664,10.344166666666666,1.287361111111111,2013-06-13,0,26,43,121,23,0,121
0.4725,34.36909866898148,70.05902777777777,20.54287326388889,10.403333333333332,0.8494270833333334,2013-06-14,0,19,43,97,17,0,97
0.515625,39.61998838559814,80.55930555555557,22.93893576388889,10.5875,1.5174045138888888,2013-06-15,0,21,44,134,19,0,134
0.32125,24.68583043981481,77.61597222222223,17.06715451388889,10.468333333333334,1.2220399305555556,2013-06-16,0,15,43,124,12,0,124
0.3923404255319149,29.320587979094075,92.97888888888887,19.642576708507672,10.308333333333334,1.0632624113475175,2013-06-17,0,18,42,168,14,0,168
0.3352083333333333,29.161752025462963,103.67541666666666,24.286525997151,10.525,1.7704774305555555,2013-06-18,0,22,43,196,14,0,196
0.5227083333333333,34.87816056910569,110.09097222222222,34.35243402777778,11.19,2.0973524305555555,2013-06-19,1,31,46,205,17,0,205
0.3910416666666667,33.30873983739838,121.8898611111111,37.96380729166666,11.6025,1.778046875,2013-06-20,0,35,48,217,16,0,217
0.3772916666666666,28.10661219081272,95.76055555555556,26.00348958333333,11.448333333333334,0.8095659722222223,2013-06-21,0,24,47,176,14,0,176
0.3541666666666667,27.584379340277778,84.84791666666666,16.241818977591034,11.184375,0.3856336805555555,2013-06-22,0,15,46,149,13,0,149
0.3541666666666667,23.221553819444445,73.98208333333334,15.321824652777776,11.045833333333334,0.7238281249999999,2013-06-23,0,14,46,111,11,0,111
0.4668085106382979,26.066122807017543,63.77366197183099,13.171064814814816,10.799166666666668,0.9007638888888888,2013-06-24,0,12,44,79,13,0,79
0.3527083333333333,28.64199853801169,53.51097222222222,16.001822916666665,10.52,0.6218276515151515,2013-06-25,0,14,43,49,14,0,49
0.4022916666666666,24.782522007042253,54.83611111111111,13.939310344827586,10.388333333333332,0.9453645833333332,2013-06-26,0,12,43,50,12,0,50
0.5002083333333334,29.727333042973285,63.50352112676056,17.02423784722222,10.365,1.7640104166666666,2013-06-27,0,15,43,78,14,0,78
0.54875,39.7601244212963,67.77277777777778,20.18323611111111,10.520833333333334,1.0221440972222222,2013-06-28,0,18,43,92,19,0,92
0.4172916666666666,32.6359837962963,62.69263888888889,20.35015277777778,10.561666666666666,0.8597482638888888,2013-06-29,0,18,44,76,16,0,76
0.291875,17.441247096399536,54.453472222222224,17.57299826388889,10.536666666666669,1.40109375,2013-06-30,0,16,43,49,8,0,49
0.4829166666666666,26.999286747685183,67.83222222222223,21.24364236111111,10.555,1.0503645833333333,2013-07-01,0,19,43,92,13,0,92
0.5202083333333333,36.202486979166665,75.45319444444445,19.560690972222226,10.491666666666667,0.8325347222222222,2013-07-02,0,18,43,116,18,0,116
0.5302083333333333,39.179025270758125,93.4786111111111,25.66856077147016,10.56,2.1361545138888887,2013-07-03,1,23,44,170,19,0,170
0.4958333333333333,37.264916963226575,64.91541666666666,24.09468526466381,10.781666666666666,2.473793402777777,2013-07-04,1,22,44,83,18,0,83
0.5399999999999999,37.67614728009259,51.40097222222222,25.863932072829133,10.970833333333331,2.699314236111111,2013-07-05,1,23,45,47,18,0,47
0.3220833333333333,25.022443576388888,70.37111111111112,19.737659985935306,10.794166666666666,0.830390625,2013-07-06,0,18,44,98,12,0,98
0.2516666666666666,18.14920138888889,76.89208333333333,15.459041842475386,10.574166666666668,1.0497395833333334,2013-07-07,0,14,44,121,9,0,121
0.3289583333333333,24.687848668981484,91.79430555555555,16.968840277777776,10.689166666666663,1.409826388888889,2013-07-08,0,15,44,165,12,0,165
0.46,34.466780303030305,92.8913888888889,26.19994270833333,10.725,2.735034722222222,2013-07-09,1,24,44,168,17,0,168
0.4135416666666666,35.964831790123455,70.38972222222223,22.560126736111112,10.7475,2.235625,2013-07-10,1,20,44,98,18,0,98
0.2530232558139535,22.156254416961133,65.09208333333333,16.687752145922747,10.63,0.980017361111111,2013-07-11,0,15,44,83,11,0,83
0.3472916666666667,23.019140534262487,61.55305555555555,16.337710069444444,10.464166666666667,0.4845659722222222,2013-07-12,0,15,43,72,11,0,72
0.3679166666666666,29.84960648148148,69.80583333333334,20.492098958333333,9.963333333333336,0.6558420138888889,2013-07-13,0,18,41,99,14,0,99
0.3570833333333333,19.795635127314814,69.03472222222223,19.81488888888889,9.615,0.7053038194444444,2013-07-14,0,18,40,96,9,0,96
0.3816666666666666,22.561785714285715,69.8887323943662,17.638721988795517,9.531666666666666,0.772421875,2013-07-15,0,16,39,99,11,0,99
0.4570833333333333,36.28633825231481,69.25125,21.317541666666667,9.5925,1.0298697916666668,2013-07-16,0,19,39,97,18,0,97
0.4635416666666667,36.91244483159117,75.47111111111111,20.20290798611111,9.679166666666667,2.003454861111112,2013-07-17,1,18,40,116,18,0,116
0.34125,29.5832837995338,74.2949295774648,18.521034722222225,9.746666666666666,0.803125,2013-07-18,0,17,40,112,14,0,112
0.37875,29.32333479532164,67.95472222222222,20.58596688034188,9.889166666666666,1.3266840277777778,2013-07-19,0,19,41,93,14,0,93
0.2325,20.11344328703704,74.79638888888888,20.03772395833333,9.9325,0.9162586805555556,2013-07-20,0,18,41,114,10,0,114
0.4272916666666666,24.09219473379629,88.3825,13.674267782426778,10.010833333333334,0.9935416666666668,2013-07-21,0,12,41,157,12,0,157
0.645625,51.87900793650793,87.1678947368421,22.27687687687688,10.353125,1.3310069444444446,2013-07-22,0,20,43,154,26,0,154
